○ 경제활동상태(성/시군/연령별) [],,,,,,,,,,,,,,,,,,,,,,,
성별,시군구별,연령별,항목,단위,2015. 1/2,2015. 2/2,2016. 1/2,2016. 2/2,2017. 1/2,2017. 2/2,2018. 1/2,2018. 2/2,2019. 1/2,2019. 2/2,2020. 1/2,2020. 2/2,2021. 1/2,2021. 2/2,2022. 1/2,2022. 2/2,2023. 1/2,2023. 2/2,2024. 1/2
전체,경기도 성남시,소계,비경제활동인구,명,309808.4428,313603.1812,309360.5529,311674.4236,96812.69814,319465.6736,316406.7081,306736.0019,308527.2522,303657.4013,326192.7154,301102.73,301558.3738,298773.4083,305305.7352,289182.3658,303190.6594,295113.5145,296454.7546
전체,경기도 성남시,소계,경제활동참가율,%,61.78247,61.24096,62.14732,61.74305,59.75834,60.60887,60.779,61.75374,61.50303,62.01088,59.102,62.299,62.17752,62.65327,61.98493,63.74431,61.98783,62.75818,62.78431
전체,경기도 성남시,소계,고용률,%,59.10001,59.21495,60.08626,59.66425,34.58076,58.1667,57.91535,58.76243,58.69217,58.84676,56.82274,59.07978,59.1307,60.62435,60.10629,61.92485,60.04916,60.57201,60.23841
전체,경기도 성남시,소계,실업률,%,4.34178,3.30826,3.31641,3.36685,2.57332,4.0294,4.71158,4.84393,4.57028,4.54479,3.85649,5.16737,4.90021,3.23832,3.03079,2.85431,3.12749,3.48349,4.05499
전체,경기도 의정부시,소계,15세이상인구,명,354355.4415,357142.5328,358871.1459,360928.8519,363380.1557,365179.9458,368183.7807,370855.0744,377424.9007,381465.0332,384390.3434,389485.0761,395658.2015,400955.6835,403123.6439,403997.6599,403073.0442,405067.015,404254.0662
전체,경기도 의정부시,소계,경제활동인구,명,196983.4758,201728.903,207685.1612,206467.2851,210026.0606,210754.6096,215646.3504,216502.2532,223352.2127,226713.6187,213183.3511,229550.8926,229382.6818,235475.5245,230322.3824,245678.8874,244523.1343,248253.8536,250658.3345
전체,경기도 의정부시,소계,취업자,명,190105.0092,194914.1471,199516.0517,197944.806,111069.5493,200111.0391,205782.982,206504.7789,213792.0731,213792.0731,204614.5282,219019.1561,217591.883,225456.2208,222710.4965,239956.8528,237624.5276,241204.7557,241819.6357
전체,경기도 의정부시,소계,실업자,명,6878.4666,6814.75593,8169.1095,8522.47907,2811.11132,10643.57051,9863.36838,9997.47425,9560.13965,9560.13965,8568.82297,10531.73643,11790.79888,10019.30373,7611.885953,5722.03462,6898.60671,7049.09794,8838.69875
전체,경기도 의정부시,소계,비경제활동인구,명,157371.9656,155413.6298,151185.9848,154461.5669,52951.46903,154425.3363,152537.4303,154352.8212,154072.688,154751.4145,171206.9923,159934.1836,166275.5197,165480.159,172801.2614,158318.7725,158549.9098,156813.1614,153595.7317
전체,경기도 의정부시,소계,경제활동참가율,%,55.58923,56.48414,57.87179,57.20443,57.79789,57.71254,58.5703,58.37921,59.17792,59.43235,55.46012,58.93702,57.97496,58.72857,57.13443,60.81196,60.66472,61.28711,62.00515
전체,경기도 의정부시,소계,고용률,%,53.64811,54.57601,55.59546,54.84317,30.56566,54.79793,55.89138,55.68342,56.64493,56.045,53.23092,56.233,54.99491,56.22971,55.2462,59.3956,58.95322,59.54688,59.81873
전체,경기도 의정부시,소계,실업률,%,3.4919,3.37818,3.93341,4.12776,1.33846,5.05022,4.57386,4.61772,4.2803,4.21684,4.01946,4.58797,5.14023,4.25492,3.30488,2.32907,2.82125,2.83947,3.52619
전체,경기도 안양시,소계,15세이상인구,명,497247.0885,497470.9879,497164.03,496763.0039,500880.5925,496040.1642,489585.6209,488104.1746,485176.4607,484297.5054,477606.5283,470762.811,471927.7649,471542.3552,476571.129,476928.5473,474913.1013,472498.6463,474604.6378
전체,경기도 안양시,소계,경제활동인구,명,290271.1656,302664.3398,298319.5059,306332.7228,310570.6293,301880.5695,300539.0222,302752.4127,298446.8326,300834.6586,276946.8478,288044.1949,291065.5651,287035.6891,289650.3114,292480.7476,293037.3023,300885.0989,304984.7318
전체,경기도 안양시,소계,취업자,명,279358.8232,287975.497,284761.8901,293050.5833,168138.1137,287892.3183,282711.9945,287935.7522,284648.667,284648.667,265466.1713,273460.7134,277178.8602,275677.1924,279782.8023,282105.7434,285071.1566,291250.3669,296310.3175
전체,경기도 안양시,소계,실업자,명,10912.34232,14688.8428,13557.6158,13282.13946,4334.68003,13988.2512,17827.02774,14816.6605,13798.16567,13798.16567,11480.67649,14583.48146,13886.70494,11358.49676,9867.509174,10375.00416,7966.14567,9634.73198,8674.41432
전체,경기도 안양시,소계,비경제활동인구,명,206975.923,194806.648,198844.5241,190430.2812,68917.92367,194159.5948,189046.5987,185351.7619,186729.6281,183462.8469,200659.6804,182718.6161,180862.1998,184506.6661,186920.8176,184447.7997,181875.799,171613.5474,169619.9059
전체,경기도 안양시,소계,경제활동참가율,%,58.37564,60.8406,60.00424,61.66577,62.00492,60.85809,61.38641,62.02619,61.51305,62.11774,57.9864,61.18669,61.67587,60.87167,60.77798,61.3259,61.70335,63.67957,64.2608
전체,경기도 안양시,소계,고용률,%,56.18109,57.8879,57.27725,58.99203,33.5685,58.03811,57.74516,58.99064,58.6691,58.77558,55.58261,58.08885,58.73332,58.46287,58.70746,59.15053,60.02596,61.64047,62.43309
전체,경기도 안양시,소계,실업률,%,3.75936,4.85318,4.54466,4.33585,1.39571,4.6337,5.93168,4.89399,4.62332,4.58663,4.14544,5.06293,4.77099,3.95717,3.4067,3.54724,2.71847,3.20213,2.84421
전체,경기도 부천시,소계,15세이상인구,명,724375.9015,722696.0409,724346.7158,726191.7209,728973.6188,730607.2604,732958.2084,731789.5642,730839.5673,729024.0114,726152.8538,723479.9047,720591.6901,720595.6271,720090.4916,715487.6071,710164.4535,707845.3882,702982.2726
전체,경기도 부천시,소계,경제활동인구,명,432254.967,435239.7816,432406.0593,444362.9869,445306.6529,434268.4552,448866.0029,455898.2005,459128.1186,459564.1015,444902.8673,444020.4462,443196.3709,441097.0102,441661.3833,447466.8244,436912.6802,438281.9978,441598.1316
전체,경기도 부천시,소계,취업자,명,414184.0356,416264.5948,411886.0333,423674.2584,247435.0173,418513.5291,428834.3194,434440.0298,439641.7672,439641.7672,423576.5894,423939.3246,427173.9074,422777.1839,429252.7574,426998.4251,419313.0723,420902.5137,420595.3515
전체,경기도 부천시,소계,실업자,명,18070.93145,18975.18679,20520.02601,20688.72852,10255.49468,15754.92612,20031.68353,21458.17075,19486.35135,19486.35135,21326.27795,20081.12159,16022.46345,18319.82631,12408.62593,20468.3993,17599.60792,17379.48414,21002.78011
전체,경기도 부천시,소계,비경제활동인구,명,292120.9345,287456.2593,291940.6566,281828.734,96243.68413,296338.8052,284092.2055,275891.3636,271711.4488,269459.9099,281249.9865,279459.4586,277395.3193,279498.617,278429.1083,268020.7826,273251.7733,269563.3904,261384.141
전체,경기도 부천시,소계,경제활동참가율,%,59.67274,60.22446,59.69601,61.19086,61.0868,59.43938,61.24033,62.29908,62.82201,63.03827,61.26849,61.37288,61.50451,61.21283,61.33415,62.54012,61.52275,61.91776,62.81782
전체,경기도 부천시,소계,고용률,%,57.17805,57.59885,56.8631,58.34193,33.94293,57.28297,58.50734,59.3668,60.15571,60.30553,58.3316,58.59725,59.28099,58.67052,59.61095,59.67936,59.0445,59.46249,59.83015
전체,경기도 부천시,소계,실업률,%,4.18062,4.35971,4.74555,4.65582,2.30302,3.62792,4.46273,4.70679,4.24421,4.24018,4.79347,4.52257,3.61521,4.15324,2.80953,4.57428,4.02818,3.96537,4.75608
전체,경기도 광명시,소계,15세이상인구,명,283337.8219,282647.8626,281892.3994,280946.539,278715.6105,277200.4945,275280.3358,274908.5599,273290.8048,269819.4361,267889.3246,258676.5709,250765.2878,251408.508,249359.0297,248857.4632,245020.6528,240539.4741,240400.5162
전체,경기도 광명시,소계,경제활동인구,명,168096.3281,166937.6432,168195.2585,168564.6265,165782.7826,169824.5331,168639.1885,166831.6023,168050.0593,166650.7111,158720.1857,157491.3687,148844.5475,151757.5285,150455.7896,151706.1123,154369.5453,150975.2655,149379.4114
전체,경기도 광명시,소계,취업자,명,160606.7421,160218.1632,161303.8169,161411.4559,93874.46322,163384.4381,161863.1491,159273.503,160351.3189,160351.3189,151684.0084,149918.6284,142209.5756,145662.2845,143987.2436,145908.5606,148339.5553,146166.4034,143762.3777
전체,경기도 광명시,소계,실업자,명,7489.58607,6719.47996,6891.44163,7153.17051,4954.50292,6440.09503,6776.03944,7558.09933,7698.74041,7698.74041,7036.17733,7572.74032,6634.97191,6095.24393,6468.545992,5797.55173,6029.99006,4808.8621,5617.03364
전체,경기도 광명시,소계,비경제활동인구,명,115241.4937,115710.2194,113697.1409,112381.9125,39107.8358,107375.9614,106641.1473,108076.9576,105240.7456,103168.725,109169.1388,101185.2021,101920.7403,99650.97948,98903.24009,97151.35091,90651.10749,89564.20857,91021.10481
전체,경기도 광명시,소계,경제활동참가율,%,59.32718,59.06206,59.66648,59.99883,59.48098,61.26415,61.26089,60.68622,61.4913,61.76379,59.24842,60.88351,59.35612,60.36292,60.33701,60.96105,63.00267,62.76528,62.13772
전체,경기도 광명시,소계,고용률,%,56.68383,56.68472,57.22177,57.45273,33.68109,58.94089,58.79939,57.9369,58.67425,59.42912,56.62189,57.95601,56.71023,57.93849,57.74294,58.63138,60.54165,60.76608,59.80119
전체,경기도 광명시,소계,실업률,%,4.45553,4.02514,4.09729,4.24358,2.98855,3.79221,4.01807,4.53038,4.58122,4.61969,4.43307,4.80835,4.45765,4.01644,4.2993,3.82157,3.9062,3.1852,3.76025
전체,경기도 평택시,소계,15세이상인구,명,372913.5654,378069.8254,384241.69,391307.7008,398704.2045,404341.4413,410864.4635,417760.7615,427092.1267,436346.2068,447088.2447,456246.799,472904.2925,487734.7805,500634.6077,508981.8729,513997.7632,520131.6722,526544.9166
전체,경기도 평택시,소계,경제활동인구,명,226267.3048,229818.4335,236185.9049,238907.5182,241516.3302,257423.0591,257062.9825,259794.8757,274666.2018,278351.9615,273846.3684,286686.8132,296764.7602,305018.2646,326287.6739,338801.1328,338517.8222,353075.0816,352169.0556
전체,경기도 평택시,소계,취업자,명,220249.399,222988.7165,227827.0058,234618.2254,135725.8404,248392.5768,251218.7024,249010.2108,264242.0131,264242.0131,265388.1466,275007.2821,286020.3026,295117.4054,316988.9306,329647.3177,330511.0419,344154.4203,336484.2725
전체,경기도 평택시,소계,실업자,명,6017.90576,6829.71698,8358.89912,4289.29274,4306.54181,9030.48227,5844.28008,10784.66488,10424.18872,10424.18872,8458.22179,11679.53118,10744.45761,9900.85923,9298.743289,9153.81505,8006.78033,8920.66133,15684.78306
전체,경기도 평택시,소계,비경제활동인구,명,146646.2606,148251.3919,148055.7851,152400.1826,38407.11303,146918.3822,153801.481,157965.8858,152425.9249,157994.2453,173241.8763,169559.9858,176139.5323,182716.5159,174346.9338,170180.7401,175479.941,167056.5906,174375.861
전체,경기도 평택시,소계,경제활동참가율,%,60.67554,60.7873,61.46806,61.05362,60.57532,63.66477,62.56637,62.18748,64.31076,63.79154,61.25108,62.83591,62.75366,62.53773,65.17481,66.56448,65.85979,67.88187,66.883
전체,경기도 평택시,소계,고용률,%,59.06178,58.98083,59.29263,59.95748,34.04174,61.43139,61.14394,59.60594,61.87003,60.55788,59.35923,60.27599,60.48165,60.50776,63.31742,64.76602,64.30204,66.16679,63.90419
전체,경기도 평택시,소계,실업률,%,2.65964,2.97179,3.53912,1.79538,1.78313,3.50803,2.27348,4.15122,3.79522,3.74497,3.08867,4.07397,3.62053,3.24599,2.84986,2.70183,2.36525,2.52656,4.45377
전체,경기도 동두천시,소계,15세이상인구,명,81630.4421,82203.8487,82230.46909,83192.29664,83169.33248,83115.71519,82983.5687,83226.63796,82969.5462,82876.87496,82825.09219,82677.60698,83347.81148,84388.34325,84458.62014,83802.05186,82247.15882,81264.10123,80789.17098
전체,경기도 동두천시,소계,경제활동인구,명,45498.98423,45633.35083,43562.47499,44591.12803,47748.83357,48239.85143,47715.42049,48112.06188,47477.76766,46579.64816,44149.48133,45092.7624,45497.89874,49053.13603,48365.77675,48956.54446,47995.5333,49264.84596,49262.87797
전체,경기도 동두천시,소계,취업자,명,43808.83854,43600.69806,42462.74153,42568.59689,24715.469,45790.16327,45547.81548,45641.29622,45073.87605,45073.87605,42170.45513,42752.62981,43406.62541,46692.19288,46866.45982,46853.051,46493.61421,47414.52676,46730.79231
전체,경기도 동두천시,소계,실업자,명,1690.14568,2032.65278,1099.73345,2022.53114,707.86882,2449.68816,2167.60501,2470.76566,2403.8916,2403.8916,1979.0262,2340.13259,2091.27334,2360.94315,1499.316928,2103.49346,1501.91909,1850.3192,2532.08567
전체,경기도 동두천시,소계,비경제활동인구,명,36131.45787,36570.49787,38667.99411,38601.16861,13614.21365,34875.86376,35268.14822,35114.57608,35491.77855,36297.2268,38675.61087,37584.84459,37849.91273,35335.20723,36092.84339,34845.50741,34251.62553,31999.25527,31526.293
전체,경기도 동두천시,소계,경제활동참가율,%,55.73777,55.51243,52.97608,53.60007,57.41159,58.03939,57.49984,57.80849,57.22313,56.20343,53.30448,54.54048,54.58799,58.12786,57.26565,58.41927,58.35525,60.62314,60.97708
전체,경기도 동두천시,소계,고용률,%,53.66728,53.03973,51.6387,51.16892,29.71705,55.09206,54.88775,54.83977,54.32581,54.38655,50.91507,51.71005,52.0789,55.33015,55.49044,55.90919,56.52914,58.34621,57.84289
전체,경기도 동두천시,소계,실업률,%,3.71469,4.45431,2.5245,4.53573,1.48248,5.07814,4.54278,5.13544,5.06319,5.16082,4.48256,5.1896,4.59642,4.81303,3.09995,4.29665,3.12929,3.75586,5.13995
전체,경기도 안산시,소계,15세이상인구,명,639890.1019,637609.8229,634219.3961,637058.0907,633854.0568,630512.249,621856.4376,617873.0849,621906.4312,620583.3719,620164.4797,620432.8755,622269.5253,622582.6532,623993.9515,623322.6354,618169.7984,614601.3458,611479.9274
전체,경기도 안산시,소계,경제활동인구,명,399405.8373,391172.8924,400442.3207,396343.2941,400746.4707,392494.3961,388419.5935,393187.8005,398097.9694,393157.3925,373140.4629,380932.4399,385679.2396,393069.1488,407804.3738,406543.9992,399380.8348,399324.4958,385138.2609
전체,경기도 안산시,소계,취업자,명,381894.4409,376388.8885,382901.6489,381241.316,233721.0718,371697.067,372785.7099,372473.6314,377074.9326,377074.9326,354329.5343,358608.2825,365741.2054,374010.6796,387785.7534,388862.48,385304.2741,384726.4944,370566.598
전체,경기도 안산시,소계,실업자,명,17511.39636,14784.00395,17540.67182,15101.97807,5612.39316,20797.32901,15633.88359,20714.16909,21023.03681,21023.03681,18810.92859,22324.15738,19938.03426,19058.46913,20018.62045,17681.51913,14076.56068,14598.0014,14571.66285
전체,경기도 안산시,소계,비경제활동인구,명,240484.2646,246436.9305,233777.0754,240714.7966,83516.10502,238017.8529,233436.8441,224685.2844,223808.4619,227425.9794,247024.0168,239500.4356,236590.2857,229513.5044,216189.5777,216778.6362,218788.9636,215276.85,226341.6665
전체,경기도 안산시,소계,경제활동참가율,%,62.41788,61.34988,63.1394,62.21462,63.22378,62.25008,62.4613,63.63569,64.01252,63.35287,60.16798,61.39785,61.97945,63.13526,65.3539,65.22208,64.60698,64.97293,62.98461
전체,경기도 안산시,소계,고용률,%,59.68125,59.03122,60.37369,59.84404,36.87301,58.9516,59.94723,60.28319,60.6321,60.76137,57.13477,57.79969,58.77537,60.07406,62.14576,62.38543,62.32984,62.59773,60.6016
전체,경기도 안산시,소계,실업률,%,4.38436,3.7794,4.38032,3.81033,1.40048,5.29876,4.025,5.26826,5.28087,5.34723,5.04125,5.8604,5.16959,4.84863,4.90888,4.34923,3.5246,3.65567,3.78349
전체,경기도 고양시,소계,15세이상인구,명,816770.1842,829973.5015,836051.7277,839893.9385,847949.0715,852097.8399,852201.6629,856234.9848,863316.001,880333.6942,893798.8835,898676.476,909242.6423,915268.45,920257.1849,919799.7165,919528.654,919028.059,917806.3815
전체,경기도 고양시,소계,경제활동인구,명,475973.1836,476269.834,489813.8336,496178.5348,487686.9034,493920.8588,500182.1705,507123.2455,510595.5853,525387.9101,514483.3634,533841.6988,546490.928,560849.777,570513.4659,575622.5275,565201.8943,573700.6159,564916.9348
전체,경기도 고양시,소계,취업자,명,461942.0796,465876.1608,474575.9166,479869.7604,262004.075,474276.8454,481488.2538,487820.5939,488460.2024,488460.2024,496415.6562,516557.6912,523027.2268,545733.4577,555032.9497,561858.9419,547862.2337,552353.9007,548862.0523
전체,경기도 고양시,소계,실업자,명,14031.10399,10393.67314,15237.91697,16308.77441,5199.99658,19644.01341,18693.91668,19302.65156,22135.38292,22135.38292,18067.70728,17284.00761,23463.70117,15116.31927,15480.51621,13763.58565,17339.66063,21346.71519,16054.88242
전체,경기도 고양시,소계,비경제활동인구,명,340797.0006,353703.6676,346237.8941,343715.4036,101171.7684,358176.9811,352019.4924,349111.7393,352720.4157,354945.7841,379315.5201,364834.7773,362751.7143,354418.673,349743.719,344177.189,354326.7596,345327.4432,352889.4467
전체,경기도 고양시,소계,경제활동참가율,%,58.27504,57.38374,58.58655,59.07633,57.5137,57.96528,58.69294,59.22711,59.14353,59.68054,57.56142,59.4031,60.10397,61.27708,61.995,62.58129,61.46648,62.42471,61.55077
전체,경기도 고양시,소계,고용률,%,56.55717,56.13145,56.76394,57.13457,30.89856,55.6599,56.49933,56.97275,56.57954,55.4858,55.53997,57.47983,57.52339,59.62551,60.31281,61.08492,59.58077,60.10196,59.80151
전체,경기도 고양시,소계,실업률,%,2.94788,2.18231,3.11096,3.28688,1.06626,3.97716,3.73742,3.8063,4.33521,4.21315,3.51182,3.23767,4.29352,2.69525,2.71344,2.39108,3.06787,3.72088,2.84199
전체,경기도 과천시,소계,15세이상인구,명,55005.69697,54675.31071,54362.6254,51696.72528,47335.5283,44967.57007,44256.62704,44763.85569,45500.89864,45567.49325,45703.68541,48978.61501,54455.30897,56131.92667,62990.0474,63062.64492,62908.23923,64655.13399,65657.9561
전체,경기도 과천시,소계,경제활동인구,명,30851.88355,29787.55363,29899.45567,28366.19487,26866.71837,25031.68931,23848.309,24751.92529,24650.57982,25218.05621,24256.17669,27110.43553,30805.01912,32735.80175,38089.26964,38176.40916,38877.00249,39756.79217,39822.64619
전체,경기도 과천시,소계,취업자,명,29548.34507,29037.05552,28898.97506,27300.60493,16772.03254,23824.23128,22972.88072,23399.03744,23941.44106,23941.44106,23483.05736,26122.56903,29779.56855,31748.08362,36955.19933,36981.02868,37854.2102,38667.26526,38588.24454
전체,경기도 과천시,소계,실업자,명,1303.53849,750.49811,1000.48062,1065.58993,804.24251,1207.45803,875.42828,1352.88784,709.13877,709.13877,773.11934,987.8665,1025.45057,987.71813,1134.070306,1195.38047,1022.79229,1089.52691,1234.40165
전체,경기도 과천시,소계,비경제활동인구,명,24153.81342,24887.75708,24463.16973,23330.53042,8070.46151,19935.88076,20408.31804,20011.9304,20850.31882,20349.43704,21447.50872,21868.17947,23650.28985,23396.12493,24900.77776,24886.23576,24031.23674,24898.34182,25835.30991
전체,경기도 과천시,소계,경제활동참가율,%,56.08852,54.48081,55.00002,54.87039,56.75804,55.66609,53.88641,55.29444,54.17603,55.34221,53.07269,55.35158,56.56936,58.3194,60.46871,60.53728,61.79954,61.49054,60.65167
전체,경기도 과천시,소계,고용률,%,53.7187,53.10817,53.15964,52.80916,35.43223,52.98092,51.90834,52.27217,52.61751,52.54061,51.3811,53.33464,54.68625,56.55976,58.66831,58.64173,60.17369,59.80541,58.77162
전체,경기도 과천시,소계,실업률,%,4.22515,2.5195,3.34615,3.75655,2.99345,4.82372,3.67082,5.46579,2.87676,2.81203,3.18731,3.64386,3.32884,3.01724,2.9774,3.1312,2.63084,2.74048,3.09975
전체,경기도 구리시,소계,15세이상인구,명,151001.7979,151720.1028,151618.9326,155931.6728,159607.1287,161700.5418,164524.9669,166658.3476,167786.8862,166449.271,166707.6378,166186.3764,165758.4327,164627.0784,163775.7135,162918.01,162440.721,161807.0422,160686.6564
전체,경기도 구리시,소계,경제활동인구,명,89147.94312,90842.09411,92692.67595,94272.8797,95315.71458,97115.41501,100456.043,101483.5471,102718.755,100684.8145,96873.94599,103299.5677,102009.689,100734.2184,102266.0594,102785.6215,102888.7411,102772.4932,104512.9771
전체,경기도 구리시,소계,취업자,명,86059.59606,86850.05976,89332.08949,90627.00129,50883.59185,93252.22645,97039.42158,98026.02836,98256.17258,98256.17258,91717.84736,98293.89965,97252.17956,96364.70618,98495.76966,99369.86297,100129.0979,100281.9523,101058.421
전체,경기도 구리시,소계,실업자,명,3088.34707,3992.03435,3360.58647,3645.87841,1756.38342,3863.18856,3416.62146,3457.51878,4462.58245,4462.58245,5156.09863,5005.66802,4757.50942,4369.51224,3770.289769,3415.75852,2759.64322,2490.54094,3454.55607
전체,경기도 구리시,소계,비경제활동인구,명,61853.85479,60878.00869,58926.25667,61658.79305,20605.25142,64585.12675,64068.92382,65174.8005,65068.1312,65764.45653,69833.69179,62886.80871,63748.74372,63892.86002,61509.65407,60132.38854,59551.97985,59034.549,56173.67935
전체,경기도 구리시,소계,경제활동참가율,%,59.03767,59.87479,61.13529,60.45781,59.71896,60.05881,61.05824,60.89317,61.21978,60.48979,58.11008,62.15887,61.54118,61.18934,62.44275,63.0904,63.33925,63.51546,65.04148
전체,경기도 구리시,소계,고용률,%,56.99243,57.24361,58.91882,58.11969,31.88053,57.66971,58.98158,58.81855,58.5601,59.0307,55.01718,59.14679,58.67103,58.53515,60.14064,60.99379,61.64039,61.97626,62.89161
전체,경기도 구리시,소계,실업률,%,3.46429,4.39448,3.62551,3.86737,1.8427,3.97794,3.40111,3.40697,4.34447,4.43223,5.32248,4.84578,4.66378,4.33766,3.68675,3.32319,2.68216,2.42335,3.30538
전체,경기도 남양주시,소계,15세이상인구,명,504365.3035,514496.9407,522831.3361,527024.099,530105.5586,535428.723,539562.477,548841.5509,556266.2236,570465.3591,577075.8388,583476.3971,595930.909,606318.3078,613613.9665,620278.0848,619504.0158,618222.4203,620917.8569
전체,경기도 남양주시,소계,경제활동인구,명,297102.4363,299392.4322,306987.1801,310880.6964,307899.6378,305503.1084,303325.4072,312237.7023,318335.3468,329564.7948,321592.69,331450.4088,339252.063,354229.1643,353531.022,380807.7237,386613.8048,384696.8482,386016.9322
전체,경기도 남양주시,소계,취업자,명,281582.9468,284242.1666,297274.7649,298771.4957,160273.4423,294595.2177,292149.869,299178.0881,306894.8982,306894.8982,305261.2859,315772.3002,326160.4306,341988.7613,341232.7842,369584.3788,378193.1908,376921.2511,374689.329
전체,경기도 남양주시,소계,실업자,명,15519.48954,15150.26568,9712.41516,12109.20076,5813.18212,10907.89079,11175.53817,13059.61422,11440.44868,11440.44868,16331.40406,15678.10858,13091.6324,12240.40307,12298.23782,11223.3449,8420.61397,7775.59708,11327.60318
전체,경기도 남양주시,소계,비경제활동인구,명,207262.8671,215104.5085,215844.156,216143.4026,62895.71051,229925.6145,236237.0698,236603.8486,237930.8767,240900.5643,255483.1488,252025.9884,256678.846,252089.1434,260082.9445,239470.3611,232890.211,233525.5721,234900.9247
전체,경기도 남양주시,소계,경제활동참가율,%,58.9062,58.19129,58.71629,58.98795,58.0827,57.05766,56.21692,56.89032,57.22716,57.77122,55.72798,56.80614,56.92809,58.42297,57.61457,61.39306,62.40699,62.22629,62.16876
전체,경기도 남양주시,소계,고용률,%,55.82917,55.24662,56.85864,56.69029,30.23425,55.02044,54.1457,54.51083,55.17051,53.79729,52.89795,54.11912,54.73125,56.40416,55.61034,59.58366,61.04774,60.96855,60.34443
전체,경기도 남양주시,소계,실업률,%,5.22362,5.06034,3.16379,3.89513,1.88801,3.57047,3.68434,4.18259,3.59384,3.47138,5.07829,4.73015,3.85897,3.4555,3.47869,2.94725,2.17804,2.02123,2.93448
전체,경기도 오산시,소계,15세이상인구,명,171890.6959,172005.1589,172144.4099,173914.646,176006.0914,178064.2225,181834.5467,185769.4315,188860.0964,192413.7078,196820.6935,199420.2389,201780.4828,202351.9862,203315.2323,204745.657,204933.0667,205994.2632,209534.2657
전체,경기도 오산시,소계,경제활동인구,명,110213.5492,106915.0477,107034.9396,108885.4229,110813.7559,117144.4643,118470.4912,121625.1238,125230.427,123394.7328,124641.9704,130879.8456,132616.7305,132748.1699,133836.4677,136824.3111,139441.2507,139474.5259,142907.995
